Library,Time (s),multiple
dask* (slightly optimized),6.3896636962890625,4.246821601651939
dask (auto-optimized),6.245482683181763,4.150993234132728
dask_on_ray (auto-optimized),8.147945880889893,5.4154450407382955
dask_on_ray* (slightly optimized),8.007761240005493,5.322272819252923
modin* (slightly optimized),55.55345678329468,36.92301058829626
modin_on_dask* (slightly optimized),59.64016008377075,39.639194206235906
duckdb,1.504575490951538,1.0
polars,3.914536952972412,2.6017550973774957
spark,11.871230840682983,7.890086547385712
